,area,district,metro,metro_distance,metro_num,price,square,S,title,type
14004,12 ㎡05/5层4室1厅,宝山,距1号线宝安公路站直线589米,589,589.0,1760,12,12.0,友家 · 天馨花园(公寓)4居室-南卧,合租
14005,12.9 ㎡05/6层4室1厅,宝山,距1号线宝安公路站直线589米,589,589.0,1760,12.9,12.9,友家 · 天馨花园(公寓)4居室-南卧,合租
14006,13 ㎡06/6层5室1厅,宝山,距7号线祁华路站直线651米,651,651.0,2390,13,13.0,友家 · 瑞丰园5居室-南卧,合租
14007,10.1 ㎡01/6层3室1厅,宝山,距7号线罗南新村站直线502米,502,502.0,1190,10.1,10.1,友家 · 富泰苑3居室-北卧,合租
14008,13.5 ㎡06/6层3室1厅,宝山,距1号线宝安公路站直线589米,589,589.0,2590,13.5,13.5,友家 · 天馨花园(公寓)3居室-南卧,合租
14009,13.8 ㎡04/6层3室1厅,宝山,距1号线共康路站直线1474米,1474,1474.0,2030,13.8,13.8,友家 · 爱迪苑3居室-南卧,合租
14010,11.3 ㎡02/14层3室1厅,宝山,距1号线宝安公路站直线177米,177,177.0,2030,11.3,11.3,友家 · 荣域飘鹰锦和花园(公寓)3居室-南卧,合租
14011,9.6 ㎡14/18层3室1厅,宝山,距7号线大场镇站直线1134米,1134,1134.0,1890,9.6,9.6,友家 · 中环一号(二期)3居室-南卧,合租
14012,12.26 ㎡06/6层3室1厅,宝山,距7号线场中路站直线1138米,1138,1138.0,2430,12.26,12.26,友家 · 美好家小区3居室-南卧,合租
14013,10 ㎡18/18层3室1厅,宝山,距1号线呼兰路站直线449米,449,449.0,1730,10,10.0,友家 · 和欣国际花园3居室-南卧,合租
14014,13.8 ㎡17/17层3室1厅,宝山,距3号线殷高西路站直线1127米,1127,1127.0,1990,13.8,13.8,友家 · 三花现代城(二期香梅苑)3居室-南卧,合租
14015,10 ㎡12/14层3室1厅,宝山,距1号线宝安公路站直线177米,177,177.0,1730,10,10.0,友家 · 荣域飘鹰锦和花园(公寓)3居室-南卧,合租
14016,17.8 ㎡03/6层2室1厅,宝山,距3号线殷高西路站直线737米,737,737.0,2730,17.8,17.8,友家 · 高境二村2居室-南卧,合租
14017,12 ㎡04/11层3室1厅,宝山,距3号线长江南路站直线1572米,1572,1572.0,1890,12,12.0,友家 · 宝景苑3居室-南卧,合租
